Product                ;emoji ;Soort    ;Januari ;Februari ;Maart ;April ;Mei ;Juni ;Juli ;Augustus ;September ;Oktober ;November ;December ;Lokaal ;Follicular ;Ovulatory ;Luteal ;Menstrual ;FODMAP ;FODMAP-light ;Dirty-Fifteen
Witte kool             ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;         ;     1 ;           ;          ;     1 ;        1 ;     1 ;             ;
Wortels                ;🥕    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;         1 ;          ;       ;        1 ;     2 ;             ;
Zuurkool               ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;        1 ;       ;             ;
Zoete aardappel        ;🍠    ;Groente  ;        ;         ;      ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;       1 ;     0 ;         1 ;        1 ;     1 ;          ;     1 ;             ;
Aardbeien              ;🍓    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;         1 ;          ;       ;        1 ;     1 ;             ;
Ananas                 ;🍍    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;          ;     2 ;             ;
Blauwe bessen          ;🫐    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;         1 ;          ;       ;          ;     1 ;             ;
Bramen                 ;🫐    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Cranberries            ;🫐    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;    ;     ;     ;         ;        0 ;        ;         ;         ;     0 ;           ;          ;       ;          ;     1 ;             ;
Druiven                ;🍇    ;Fruit    ;        ;         ;      ;      ;    ;     ;     ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;          ;     1 ;             ;
Frambozen              ;🫐    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;        1 ;       ;        1 ;     1 ;             ;
Galiameloen            ;🍈    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     1 ;             ;
Kersen                 ;🍒    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;          ;        ;         ;         ;     1 ;           ;          ;       ;        1 ;     0 ;             ;
Mango                  ;🥭    ;Fruit    ;        ;         ;      ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;          ;     0 ;             ;
Rode bessen            ;🫐    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;     ;         ;        1 ;      1 ;       1 ;         ;     1 ;           ;          ;       ;          ;       ;             ;
